,StateAbbr,CityName,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
6950,TN,Memphis,4748000-47157021113,CrdPrv,14.3,13.1,15.6,"3,877","(35.1981528237, -89.8005128119)",4748000.0,47157021113.0
6963,TN,Memphis,4748000-47157021726,CrdPrv,16.1,14.2,18.2,"4,156","(35.0549233988, -89.8505914096)",4748000.0,47157021726.0
7114,TN,Memphis,4748000-47157021746,CrdPrv,15.2,13.9,16.5,"4,588","(35.0393420748, -89.8375054703)",4748000.0,47157021746.0
7320,TN,Memphis,4748000-47157011600,CrdPrv,21.5,19.7,23.6,"2,743","(35.120541441, -90.0397678788)",4748000.0,47157011600.0
7500,TN,Memphis,4748000-47157006200,CrdPrv,17.5,16.2,18.9,"2,242","(35.1174681637, -90.0110800767)",4748000.0,47157006200.0
7737,TN,Memphis,4748000-47157004300,CrdPrv,9.5,8.6,10.8,"1,353","(35.1298657676, -90.0647633371)",4748000.0,47157004300.0
7789,TN,Memphis,4748000-47157008000,CrdPrv,17.2,15.8,18.6,"5,174","(35.1004579845, -89.9399787328)",4748000.0,47157008000.0
7865,TN,Memphis,4748000-47157021331,CrdPrv,10.9,9.9,12.1,"3,247","(35.0787982832, -89.8594379028)",4748000.0,47157021331.0
7966,TN,Memphis,4748000-47157980100,CrdPrv,24.8,22.4,27.3,63,"(35.0534030584, -89.9712369407)",4748000.0,47157980100.0
7992,TN,Memphis,4748000-47157009800,CrdPrv,17.0,15.5,18.6,"3,110","(35.158879497, -89.8968833402)",4748000.0,47157009800.0
8154,TN,Memphis,4748000-47157007821,CrdPrv,18.8,17.2,20.3,"5,903","(35.0798934018, -90.0072324335)",4748000.0,47157007821.0
8225,TN,Memphis,4748000-47157022220,CrdPrv,16.0,14.4,17.8,"4,099","(35.0660690423, -90.0748840956)",4748000.0,47157022220.0
8338,TN,Memphis,4748000-47157020610,CrdPrv,15.1,13.5,16.5,"4,164","(35.1761991829, -89.8851112203)",4748000.0,47157020610.0
8555,TN,Memphis,4748000-47157021137,CrdPrv,11.6,10.6,12.8,"8,037","(35.1420067396, -89.7810716122)",4748000.0,47157021137.0
