,Year,StateAbbr,StateDesc,CityName,GeographicLevel,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
20623,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121300,CrdPrv,10.8,10.2,11.4,"1,999","(29.5265815603, -98.3808494957)",4865000.0,48029121300.0
20844,2016,TX,Texas,San Antonio,Census Tract,4865000-48029141404,CrdPrv,11.8,10.8,12.9,"4,401","(29.3667834362, -98.425703209)",4865000.0,48029141404.0
20937,2016,TX,Texas,San Antonio,Census Tract,4865000-48029152100,CrdPrv,12.3,11.4,13.4,184,"(29.2533478025, -98.5275594208)",4865000.0,48029152100.0
21076,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171913,CrdPrv,13.7,12.3,15.1,"5,322","(29.4237380018, -98.6717674384)",4865000.0,48029171913.0
21126,2016,TX,Texas,San Antonio,Census Tract,4865000-48029110600,CrdPrv,17.7,16.1,19.3,"7,553","(29.4302244696, -98.5074906295)",4865000.0,48029110600.0
21174,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171917,CrdPrv,10.4,9.5,11.3,"8,439","(29.4417609829, -98.6997023897)",4865000.0,48029171917.0
21272,2016,TX,Texas,San Antonio,Census Tract,4865000-48029190503,CrdPrv,12.8,11.4,14.2,"3,459","(29.4596715647, -98.5035886288)",4865000.0,48029190503.0
21294,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121809,CrdPrv,11.7,10.7,12.6,"4,982","(29.5780966088, -98.38214117)",4865000.0,48029121809.0
21426,2016,TX,Texas,San Antonio,Census Tract,4865000-48029150501,CrdPrv,15.6,14.4,16.8,"4,372","(29.3790792861, -98.5256037121)",4865000.0,48029150501.0
21470,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121905,CrdPrv,9.1,8.2,10.1,"3,839","(29.6472656891, -98.4412219376)",4865000.0,48029121905.0
21505,2016,TX,Texas,San Antonio,Census Tract,4865000-48029170900,CrdPrv,15.4,14.2,16.7,"4,324","(29.4236312591, -98.5482353587)",4865000.0,48029170900.0
21640,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171100,CrdPrv,15.6,13.9,17.3,"3,720","(29.4224604204, -98.5686159806)",4865000.0,48029171100.0
