,Year,StateAbbr,StateDesc,CityName,GeographicLevel,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
14984,2016,CA,California,Los Angeles,Census Tract,0644000-06037141600,CrdPrv,8.1,7.1,9.2,"4,029","(34.138911128, -118.461043896)",644000.0,6037141600.0
15070,2016,CA,California,Los Angeles,Census Tract,0644000-06037189600,CrdPrv,9.6,8.6,10.7,"3,529","(34.1113558129, -118.329761765)",644000.0,6037189600.0
15160,2016,CA,California,Los Angeles,Census Tract,0644000-06037231900,CrdPrv,18.9,16.8,20.8,"5,968","(33.9997716875, -118.277341863)",644000.0,6037231900.0
15193,2016,CA,California,Los Angeles,Census Tract,0644000-06037113401,CrdPrv,10.4,9.8,11.1,"5,543","(34.2272273539, -118.562693816)",644000.0,6037113401.0
15195,2016,CA,California,Los Angeles,Census Tract,0644000-06037139600,CrdPrv,9.6,8.5,10.9,"4,633","(34.1640600087, -118.510100077)",644000.0,6037139600.0
15262,2016,CA,California,Los Angeles,Census Tract,0644000-06037204410,CrdPrv,17.8,15.8,20.0,"2,363","(34.0461881432, -118.215270705)",644000.0,6037204410.0
15281,2016,CA,California,Los Angeles,Census Tract,0644000-06037131400,CrdPrv,11.9,10.8,12.9,"5,897","(34.2145917969, -118.5316957)",644000.0,6037131400.0
15294,2016,CA,California,Los Angeles,Census Tract,0644000-06037262100,CrdPrv,8.2,7.2,9.4,"3,586","(34.0957318475, -118.45101392)",644000.0,6037262100.0
15374,2016,CA,California,Los Angeles,Census Tract,0644000-06037113213,CrdPrv,9.8,9.0,10.7,"4,316","(34.253391414, -118.607192787)",644000.0,6037113213.0
15392,2016,CA,California,Los Angeles,Census Tract,0644000-06037216700,CrdPrv,10.7,10.0,11.5,"3,709","(34.0482451005, -118.371949033)",644000.0,6037216700.0
15434,2016,CA,California,Los Angeles,Census Tract,0644000-06037221820,CrdPrv,13.7,11.8,16.2,"3,095","(34.0304526061, -118.286498481)",644000.0,6037221820.0
15490,2016,CA,California,Los Angeles,Census Tract,0644000-06037242700,CrdPrv,19.2,17.7,20.6,"5,273","(33.9363536363, -118.242648555)",644000.0,6037242700.0
15493,2016,CA,California,Los Angeles,Census Tract,0644000-06037221220,CrdPrv,15.1,13.4,16.8,"3,378","(34.043573693, -118.296021441)",644000.0,6037221220.0
15496,2016,CA,California,Los Angeles,Census Tract,0644000-06037294200,CrdPrv,12.6,11.3,13.9,"4,951","(33.7948377273, -118.269389241)",644000.0,6037294200.0
15513,2016,CA,California,Los Angeles,Census Tract,0644000-06037123204,CrdPrv,15.5,14.1,16.9,"3,449","(34.1939360052, -118.3943295)",644000.0,6037123204.0
15540,2016,CA,California,Los Angeles,Census Tract,0644000-06037106520,CrdPrv,13.7,12.2,15.3,"5,837","(34.3088574805, -118.461352505)",644000.0,6037106520.0
15549,2016,CA,California,Los Angeles,Census Tract,0644000-06037131020,CrdPrv,14.4,13.0,15.8,"5,698","(34.1993980595, -118.539935786)",644000.0,6037131020.0
15558,2016,CA,California,Los Angeles,Census Tract,0644000-06037123602,CrdPrv,12.7,11.5,14.0,"3,332","(34.1812200097, -118.426325604)",644000.0,6037123602.0
15575,2016,CA,California,Los Angeles,Census Tract,0644000-06037123206,CrdPrv,16.6,14.7,18.4,"2,945","(34.1937074581, -118.374866549)",644000.0,6037123206.0
15595,2016,CA,California,Los Angeles,Census Tract,0644000-06037107020,CrdPrv,13.7,11.8,15.5,"5,404","(34.2975505056, -118.45047945)",644000.0,6037107020.0
15613,2016,CA,California,Los Angeles,Census Tract,0644000-06037208904,CrdPrv,21.8,19.7,23.5,"3,926","(34.0595680929, -118.270092893)",644000.0,6037208904.0
15632,2016,CA,California,Los Angeles,Census Tract,0644000-06037216900,CrdPrv,10.2,9.2,11.3,"5,060","(34.0499364723, -118.363108174)",644000.0,6037216900.0
15652,2016,CA,California,Los Angeles,Census Tract,0644000-06037212102,CrdPrv,12.2,11.4,13.1,"2,446","(34.0635726369, -118.298497593)",644000.0,6037212102.0
15674,2016,CA,California,Los Angeles,Census Tract,0644000-06037104500,CrdPrv,14.5,12.7,16.4,"3,293","(34.2555108924, -118.425748024)",644000.0,6037104500.0
15679,2016,CA,California,Los Angeles,Census Tract,0644000-06037228710,CrdPrv,18.7,16.6,20.5,"4,235","(33.9993679808, -118.254290304)",644000.0,6037228710.0
15697,2016,CA,California,Los Angeles,Census Tract,0644000-06037121600,CrdPrv,9.7,8.9,10.5,"3,005","(34.2110692108, -118.410591625)",644000.0,6037121600.0
